0,12,1765417925886640160
1,11,4629700485658446400
2,11,2377919432405035072
3,11,1188954768394420608
4,11,6088875492340138112
5,11,72061992118518016
6,11,72058693583120548
7,12,1224979240379957890
8,11,234327919185397794
9,10,563096054038788
10,10,2342153350465781824
11,10,41799068476772354
12,10,2918614136592335312
13,10,20829294307053700
14,10,18295877792825348
15,11,2308657905089413380
16,11,4616339701396144160
17,10,9800115364720379168
18,10,589971689161884672
19,10,142386890084353
20,10,704237331809280
21,10,9261935208214298632
22,10,1200666966067720
23,11,1445657679421808900
24,11,1170432275267584
25,10,457397911179268
26,10,163273080827805824
27,10,72343608796119080
28,10,144264723804979328
29,10,487514678995058816
30,10,9516158875100318216
31,11,4648743752204353
32,11,4832397859695362432
33,10,292769161304608770
34,10,3459609213980909570
35,10,1154346473832318976
36,10,9261654838083585024
37,10,155938271002628236
38,10,2544835232008
39,11,566259259277636
40,11,40602767540256768
41,10,6953701861757091872
42,10,13530592276774948
43,10,19791750496280
44,10,4616761364168343680
45,10,563018807246852
46,10,72059793077993600
47,11,2454466197149319169
48,11,36046526648157760
49,10,2306054184205550272
50,10,9323888936779904
51,10,581008333201244288
52,10,873702736498524288
53,10,1234549396033765504
54,10,5066622729716224
55,11,72479807593513088
56,12,282024741972033
57,11,327355612665036930
58,11,4538788294967313
59,11,580546434697249
60,11,9259682515076122625
61,11,281784281466369
62,11,2341026136260
63,12,148619956479852610
