0,6,1228358490650837120
1,5,9016003946225984
2,5,2271592935588228
3,5,586598268838871040
4,5,300441832261664
5,5,144418790925664833
6,5,4611765260710314248
7,6,39591145120272
8,5,9511611348820461860
9,5,9225386377063170368
10,5,18102578487427072
11,5,10380801629363377152
12,5,4827859969846083585
13,5,152085565583130640
14,5,4794086218580625536
15,5,283602321929
16,5,12398704582316851456
17,5,1429442696839424
18,7,2310347055521873929
19,7,9557922741974221073
20,7,563242062321409
21,7,9223934991111689473
22,5,1407400662147082
23,5,72198350350847488
24,5,148689157791940864
25,5,1261298867082625808
26,7,723126876092023296
27,9,361977369940033555
28,9,1802007199115936259
29,7,146235054907408
30,5,20267297876772865
31,5,2614413253123540992
32,5,1128236370632714
33,5,41944238297059336
34,7,144150544247685762
35,9,4613973036972966096
36,9,7521016377052790816
37,7,19149103099356288
38,5,4756372956884633736
39,5,11927924902552273441
40,5,180451986058052864
41,5,302027609892462608
42,7,6935719426528382977
43,7,33268892174343
44,7,2918402997090259088
45,7,18016324819095680
46,5,596868839174603776
47,5,4616402450872583232
48,5,149538012660736
49,5,18155497213412864
50,5,4611687129768008960
51,5,9259402209370706176
52,5,72075272396210688
53,5,26599002243712
54,5,292839533476716544
55,5,14412790152299028484
56,6,9571807095037954
57,5,764538658826
58,5,36099208746566674
59,5,577023711552488448
60,5,5548439414918938880
61,5,1175445275316584737
62,5,9224506743862723072
63,6,585628626318795264
